date,region,segment,plan,channel,active_customers,new_customers,churned_customers,monthly_revenue,discount_rate,support_tickets,avg_response_time_hours,nps_score
2025-01-01,emea,startup,starter,sales_outbound,194,15,10,11451.59,0.066,18,7.25,27
2025-01-01,emea,startup,growth,organic,327,24,15,46028.21,0.072,25,4.99,27
2025-01-01,emea,startup,growth,paid_search,372,21,16,56142.84,0.005,24,5.56,27
2025-01-01,emea,startup,growth,partner,396,27,16,56821.75,0.054,55,4.13,27
2025-01-01,emea,startup,growth,sales_outbound,473,32,21,65646.35,0.085,27,1.74,39
2025-01-01,emea,startup,enterprise,organic,827,52,41,291322.46,0.039,94,3.1,40
2025-01-01,emea,startup,enterprise,paid_search,1019,74,54,373524.64,0.0,77,6.19,38
2025-01-01,emea,startup,enterprise,partner,1034,61,55,355144.59,0.063,129,2.22,39
2025-01-01,emea,startup,enterprise,sales_outbound,1099,64,54,378275.62,0.061,97,6.47,33
2025-01-01,emea,mid_market,starter,organic,98,5,4,9830.79,0.093,17,7.95,39
2025-01-01,emea,mid_market,starter,paid_search,108,5,4,11323.67,0.052,12,4.79,36
2025-01-01,emea,mid_market,starter,partner,121,5,4,13101.57,0.021,13,2.99,34
2025-01-01,emea,mid_market,starter,sales_outbound,136,7,5,13717.94,0.088,17,8.39,32
2025-01-01,emea,mid_market,growth,organic,234,10,7,60249.57,0.03,24,5.45,31
2025-01-01,emea,mid_market,growth,paid_search,282,13,9,72982.73,0.025,39,6.71,32
2025-01-01,emea,mid_market,growth,partner,282,18,9,72683.31,0.029,32,3.22,45
2025-01-01,emea,mid_market,growth,sales_outbound,302,18,9,74150.66,0.075,37,5.57,41
2025-01-01,emea,mid_market,enterprise,organic,520,26,14,311554.01,0.066,65,3.26,43
2025-01-01,emea,mid_market,enterprise,paid_search,606,33,22,368133.83,0.053,85,4.27,38
2025-01-01,emea,mid_market,enterprise,partner,681,39,17,403647.44,0.076,95,4.65,48
2025-01-01,emea,mid_market,enterprise,sales_outbound,753,33,29,450671.13,0.067,82,4.73,38
2025-01-01,emea,enterprise,starter,organic,47,2,1,11655.85,0.019,6,8.6,47
2025-01-01,emea,enterprise,starter,paid_search,56,3,1,14029.39,0.009,6,8.12,37
2025-01-01,emea,enterprise,starter,partner,53,3,1,12768.68,0.047,5,6.06,46
2025-01-01,emea,enterprise,starter,sales_outbound,59,3,1,13841.31,0.072,10,8.49,40
2025-01-01,emea,enterprise,growth,organic,113,4,3,66845.38,0.025,11,4.53,38
2025-01-01,emea,enterprise,growth,paid_search,124,5,2,68988.92,0.083,12,4.3,45
2025-01-01,emea,enterprise,growth,partner,129,4,2,71614.2,0.085,11,4.98,49
2025-01-01,emea,enterprise,growth,sales_outbound,142,6,2,78314.2,0.091,18,2.92,54
2025-01-01,emea,enterprise,enterprise,organic,265,14,5,373788.56,0.038,26,5.45,51
2025-01-01,emea,enterprise,enterprise,paid_search,285,14,6,386955.4,0.074,34,5.29,44
2025-01-01,emea,enterprise,enterprise,partner,316,13,6,444335.23,0.041,36,5.07,46
2025-01-01,emea,enterprise,enterprise,sales_outbound,371,20,7,526023.86,0.033,50,3.02,51
2025-01-01,apac,startup,starter,organic,126,9,5,6485.39,0.053,13,6.57,30
2025-01-01,apac,startup,starter,paid_search,134,8,7,6671.38,0.084,16,8.53,19
2025-01-01,apac,startup,starter,partner,151,12,6,7944.52,0.032,12,8.0,25
2025-01-01,apac,startup,starter,sales_outbound,168,12,8,8364.12,0.084,17,6.62,26
2025-01-01,apac,startup,growth,organic,303,18,13,38299.51,0.031,33,7.29,24
2025-01-01,apac,startup,growth,paid_search,338,21,16,42988.08,0.025,47,1.01,28
2025-01-01,apac,startup,growth,partner,337,20,16,40355.19,0.082,43,4.62,34
2025-01-01,apac,startup,growth,sales_outbound,384,28,20,44280.27,0.116,40,6.65,26
2025-01-01,apac,startup,enterprise,organic,698,49,27,212997.4,0.032,64,2.58,37
2025-01-01,apac,startup,enterprise,paid_search,770,50,32,223317.15,0.08,54,1.91,37
2025-01-01,apac,startup,enterprise,partner,815,59,37,256151.14,0.003,105,3.17,34
2025-01-01,apac,startup,enterprise,sales_outbound,950,58,43,258151.35,0.138,115,2.08,35
2025-01-01,apac,mid_market,starter,organic,80,4,3,7114.68,0.065,9,7.42,37
2025-01-01,apac,mid_market,starter,paid_search,89,5,3,8372.21,0.011,8,7.6,38
2025-01-01,apac,mid_market,starter,partner,99,5,3,9096.32,0.034,12,8.99,33
2025-01-01,apac,mid_market,starter,sales_outbound,108,6,3,9337.73,0.091,15,4.13,50
2025-01-01,apac,mid_market,growth,organic,190,10,5,41941.59,0.033,14,4.22,35
2025-01-01,apac,mid_market,growth,paid_search,228,13,6,52047.48,0.0,27,4.1,44
2025-01-01,apac,mid_market,growth,partner,246,16,9,55819.55,0.006,20,3.52,41
2025-01-01,apac,mid_market,growth,sales_outbound,265,12,7,56440.69,0.067,21,6.91,33
2025-01-01,apac,mid_market,enterprise,organic,477,21,13,255779.78,0.028,46,1.98,56
2025-01-01,apac,mid_market,enterprise,paid_search,552,25,14,277116.28,0.09,54,2.07,44
2025-01-01,apac,mid_market,enterprise,partner,618,40,16,314681.89,0.077,47,2.76,45
2025-01-01,apac,mid_market,enterprise,sales_outbound,614,37,18,318403.47,0.06,83,3.8,50
2025-01-01,apac,enterprise,starter,organic,37,1,1,7609.71,0.054,3,7.63,37
2025-01-01,apac,enterprise,starter,paid_search,45,2,1,9294.19,0.05,4,5.96,48
2025-01-01,apac,enterprise,starter,partner,48,2,1,10007.73,0.041,8,8.29,44
2025-01-01,apac,enterprise,starter,sales_outbound,52,2,1,9903.37,0.124,5,8.14,45
2025-01-01,apac,enterprise,growth,organic,95,3,1,46793.16,0.056,12,2.65,46
2025-01-01,apac,enterprise,growth,paid_search,112,5,2,56861.41,0.027,10,4.29,52
2025-01-01,apac,enterprise,growth,partner,110,6,3,54353.74,0.053,12,5.35,46
2025-01-01,apac,enterprise,growth,sales_outbound,121,5,1,60862.41,0.036,15,5.18,42
2025-01-01,apac,enterprise,enterprise,organic,226,10,4,277853.95,0.025,18,5.78,52
2025-01-01,apac,enterprise,enterprise,paid_search,273,11,5,344243.83,0.0,23,5.06,54
2025-01-01,apac,enterprise,enterprise,partner,270,12,5,321735.58,0.055,33,5.0,53
2025-01-01,apac,enterprise,enterprise,sales_outbound,304,15,8,348067.08,0.092,39,6.92,49
2025-01-01,latin_america,startup,starter,organic,100,7,5,4359.28,0.042,13,6.95,25
2025-01-01,latin_america,startup,starter,paid_search,117,7,6,5041.8,0.053,15,10.0,22
2025-01-01,latin_america,startup,starter,partner,128,8,5,5807.04,0.003,15,8.05,32
2025-01-01,latin_america,startup,starter,sales_outbound,147,10,6,5886.4,0.12,27,6.77,32
2025-01-01,latin_america,startup,growth,organic,234,15,11,24149.52,0.055,16,5.39,32
2025-01-01,latin_america,startup,growth,paid_search,282,16,14,29996.38,0.026,37,2.8,36
2025-01-01,latin_america,startup,growth,partner,303,22,16,31700.71,0.042,32,2.57,23
2025-01-01,latin_america,startup,growth,sales_outbound,314,20,16,31239.84,0.089,28,7.81,21
2025-01-01,latin_america,startup,enterprise,organic,606,39,31,153859.84,0.038,55,3.65,39
2025-01-01,latin_america,startup,enterprise,paid_search,705,55,36,181042.08,0.027,79,7.19,39
2025-01-01,latin_america,startup,enterprise,partner,784,49,32,189121.03,0.086,102,7.7,36
2025-01-01,latin_america,startup,enterprise,sales_outbound,811,61,43,196704.34,0.081,49,4.78,30
2025-01-01,latin_america,mid_market,starter,organic,67,3,2,5217.97,0.022,10,3.13,37
2025-01-01,latin_america,mid_market,starter,paid_search,75,4,2,5954.48,0.003,11,7.76,40
2025-01-01,latin_america,mid_market,starter,partner,85,4,3,6382.9,0.057,14,7.26,32
2025-01-01,latin_america,mid_market,starter,sales_outbound,94,4,3,6751.84,0.098,7,6.3,39
2025-01-01,latin_america,mid_market,growth,organic,166,10,4,29631.51,0.066,12,3.13,37
2025-01-01,latin_america,mid_market,growth,paid_search,188,11,5,35462.87,0.013,21,1.92,43
2025-01-01,latin_america,mid_market,growth,partner,213,11,7,39771.6,0.023,13,9.52,28
2025-01-01,latin_america,mid_market,growth,sales_outbound,216,13,7,35460.58,0.141,18,8.03,33
2025-01-01,latin_america,mid_market,enterprise,organic,412,21,12,179822.75,0.055,48,7.86,41
2025-01-01,latin_america,mid_market,enterprise,paid_search,461,29,16,203977.4,0.042,65,7.02,37
2025-01-01,latin_america,mid_market,enterprise,partner,518,32,14,239246.38,0.0,65,4.73,46
2025-01-01,latin_america,mid_market,enterprise,sales_outbound,538,33,18,218168.68,0.122,36,6.57,44
2025-01-01,latin_america,enterprise,starter,organic,35,1,1,6045.66,0.051,3,8.4,40
2025-01-01,latin_america,enterprise,starter,paid_search,37,2,1,6411.33,0.048,4,6.54,44
2025-01-01,latin_america,enterprise,starter,partner,42,2,1,6971.94,0.088,5,8.99,36
2025-01-01,latin_america,enterprise,starter,sales_outbound,43,2,1,7184.9,0.082,7,6.95,40
2025-01-01,latin_america,enterprise,growth,organic,81,3,1,34888.54,0.014,6,5.32,49
2025-01-01,latin_america,enterprise,growth,paid_search,91,4,2,38917.5,0.021,8,3.88,43
2025-01-01,latin_america,enterprise,growth,partner,90,3,2,39315.46,0.0,10,3.62,44
2025-01-01,latin_america,enterprise,growth,sales_outbound,104,4,1,43341.36,0.046,6,5.1,47
2025-01-01,latin_america,enterprise,enterprise,organic,190,8,3,186340.34,0.071,26,4.01,49
2025-01-01,latin_america,enterprise,enterprise,paid_search,207,11,5,214376.37,0.019,27,2.38,49
2025-01-01,latin_america,enterprise,enterprise,partner,232,8,4,225816.91,0.078,17,2.3,64
2025-01-01,latin_america,enterprise,enterprise,sales_outbound,240,11,3,222962.32,0.12,19,7.37,48
2025-02-01,north_america,startup,starter,organic,169,12,9,11985.78,0.049,13,4.8,38
2025-02-01,north_america,startup,starter,paid_search,192,14,9,13974.95,0.024,27,8.01,21
2025-02-01,north_america,startup,starter,partner,207,14,9,15437.23,0.0,39,9.74,22
2025-02-01,north_america,startup,starter,sales_outbound,223,17,9,15499.58,0.068,26,8.07,20
2025-02-01,north_america,startup,growth,organic,408,24,18,69957.78,0.042,26,6.31,28
2025-02-01,north_america,startup,growth,paid_search,442,29,19,73888.95,0.066,48,3.94,21
2025-02-01,north_america,startup,growth,partner,482,34,19,84371.59,0.022,69,5.59,24
2025-02-01,north_america,startup,growth,sales_outbound,559,36,29,89545.79,0.105,46,5.06,29
2025-02-01,north_america,startup,enterprise,organic,920,66,41,391172.6,0.017,99,3.91,40
2025-02-01,north_america,startup,enterprise,paid_search,1036,60,51,421673.64,0.059,138,1.08,35
2025-02-01,north_america,startup,enterprise,partner,1097,71,56,445078.43,0.062,99,4.3,31
2025-02-01,north_america,startup,enterprise,sales_outbound,1273,98,63,496663.24,0.098,123,5.14,34
2025-02-01,north_america,mid_market,starter,organic,104,5,3,12799.18,0.057,8,9.73,31
2025-02-01,north_america,mid_market,starter,paid_search,125,8,5,16036.17,0.017,15,8.01,32
2025-02-01,north_america,mid_market,starter,partner,136,6,4,16666.39,0.061,12,4.03,39
2025-02-01,north_america,mid_market,starter,sales_outbound,144,7,4,16801.08,0.106,14,5.42,39
2025-02-01,north_america,mid_market,growth,organic,267,16,9,83211.38,0.005,29,2.99,34
2025-02-01,north_america,mid_market,growth,paid_search,317,19,12,94921.7,0.044,27,4.92,39
2025-02-01,north_america,mid_market,growth,partner,327,20,13,99145.15,0.032,20,2.78,38
2025-02-01,north_america,mid_market,growth,sales_outbound,349,18,10,100131.17,0.084,48,1.43,37
2025-02-01,north_america,mid_market,enterprise,organic,665,29,17,465616.65,0.075,62,2.31,49
2025-02-01,north_america,mid_market,enterprise,paid_search,725,40,21,521895.62,0.049,46,3.45,40
2025-02-01,north_america,mid_market,enterprise,partner,769,37,30,561136.48,0.036,45,5.73,51
2025-02-01,north_america,mid_market,enterprise,sales_outbound,870,43,22,633518.72,0.038,86,3.64,46
2025-02-01,north_america,enterprise,starter,organic,50,2,1,14378.25,0.036,6,5.92,49
2025-02-01,north_america,enterprise,starter,paid_search,57,2,1,16136.16,0.051,7,6.08,48
2025-02-01,north_america,enterprise,starter,partner,64,3,1,17850.51,0.065,12,5.72,47
2025-02-01,north_america,enterprise,starter,sales_outbound,68,2,1,18256.2,0.1,8,9.64,45
2025-02-01,north_america,enterprise,growth,organic,124,6,2,86822.21,0.022,14,3.73,48
2025-02-01,north_america,enterprise,growth,paid_search,145,8,3,102045.03,0.017,10,5.24,48
2025-02-01,north_america,enterprise,growth,partner,156,8,2,105765.71,0.053,22,3.57,45
2025-02-01,north_america,enterprise,growth,sales_outbound,159,7,4,106206.01,0.067,18,5.56,45
2025-02-01,north_america,enterprise,enterprise,organic,310,13,6,517041.97,0.036,34,4.96,47
2025-02-01,north_america,enterprise,enterprise,paid_search,344,14,4,566607.69,0.048,30,4.1,60
2025-02-01,north_america,enterprise,enterprise,partner,379,17,7,630814.04,0.038,40,6.39,49
2025-02-01,north_america,enterprise,enterprise,sales_outbound,439,19,7,688144.73,0.094,48,1.48,57
2025-02-01,emea,startup,starter,organic,130,10,7,7772.34,0.054,11,7.19,23
2025-02-01,emea,startup,starter,paid_search,156,10,8,9859.2,0.0,18,9.05,21
2025-02-01,emea,startup,starter,partner,175,10,8,11026.82,0.003,20,6.4,31
2025-02-01,emea,startup,starter,sales_outbound,184,14,10,10558.95,0.092,27,7.93,25
2025-02-01,emea,startup,growth,organic,320,20,16,48537.6,0.0,36,6.45,30
2025-02-01,emea,startup,growth,paid_search,405,28,18,57990.3,0.056,27,3.23,21
2025-02-01,emea,startup,growth,partner,453,26,22,66031.31,0.039,45,6.04,27
2025-02-01,emea,startup,growth,sales_outbound,467,34,20,65663.64,0.073,67,5.35,30
2025-02-01,emea,startup,enterprise,organic,819,55,41,296910.3,0.011,83,2.57,29
2025-02-01,emea,startup,enterprise,paid_search,901,53,38,324655.96,0.017,105,1.75,32
2025-02-01,emea,startup,enterprise,partner,1004,64,50,355881.37,0.033,142,2.19,32
2025-02-01,emea,startup,enterprise,sales_outbound,1098,66,59,377528.94,0.062,137,5.47,31
2025-02-01,emea,mid_market,starter,organic,92,5,3,10063.27,0.011,15,5.63,36
2025-02-01,emea,mid_market,starter,paid_search,110,6,4,11509.04,0.054,9,5.78,36
2025-02-01,emea,mid_market,starter,partner,123,7,3,13277.31,0.024,10,8.55,37
2025-02-01,emea,mid_market,starter,sales_outbound,117,5,4,11956.74,0.076,20,10.61,24
2025-02-01,emea,mid_market,growth,organic,217,11,6,54547.65,0.053,13,4.75,41
2025-02-01,emea,mid_market,growth,paid_search,274,14,7,68148.53,0.063,16,6.27,34
2025-02-01,emea,mid_market,growth,partner,288,15,10,76217.38,0.003,39,5.75,36
2025-02-01,emea,mid_market,growth,sales_outbound,320,18,10,74068.38,0.128,40,4.57,40
2025-02-01,emea,mid_market,enterprise,organic,546,31,14,323629.23,0.076,71,2.27,47
2025-02-01,emea,mid_market,enterprise,paid_search,607,36,17,383148.31,0.016,33,3.09,50
2025-02-01,emea,mid_market,enterprise,partner,690,38,20,409867.23,0.074,96,1.46,46
2025-02-01,emea,mid_market,enterprise,sales_outbound,726,46,18,428457.32,0.08,64,2.41,51
2025-02-01,emea,enterprise,starter,organic,43,2,1,10359.49,0.047,4,5.74,42
2025-02-01,emea,enterprise,starter,paid_search,52,2,1,12396.3,0.057,9,6.15,35
2025-02-01,emea,enterprise,starter,partner,53,2,1,12835.67,0.042,10,8.28,43
2025-02-01,emea,enterprise,starter,sales_outbound,60,2,1,14712.96,0.03,7,8.04,39
2025-02-01,emea,enterprise,growth,organic,111,4,3,64113.32,0.048,6,3.96,44
2025-02-01,emea,enterprise,growth,paid_search,123,5,2,73581.79,0.014,17,4.09,50
2025-02-01,emea,enterprise,growth,partner,129,6,2,76858.08,0.018,8,3.37,51
2025-02-01,emea,enterprise,growth,sales_outbound,145,5,2,80936.45,0.08,12,4.13,52
2025-02-01,emea,enterprise,enterprise,organic,253,10,5,361684.75,0.025,30,5.91,48
2025-02-01,emea,enterprise,enterprise,paid_search,279,14,4,386990.59,0.054,32,3.3,57
2025-02-01,emea,enterprise,enterprise,partner,316,10,8,451748.54,0.025,36,3.92,54
2025-02-01,emea,enterprise,enterprise,sales_outbound,345,14,9,447173.88,0.116,20,5.25,55
2025-02-01,apac,startup,starter,organic,117,7,5,5977.63,0.06,14,6.93,29
2025-02-01,apac,startup,starter,paid_search,140,8,7,7312.52,0.039,25,9.8,26
2025-02-01,apac,startup,starter,partner,148,10,7,7859.08,0.023,28,7.8,26
2025-02-01,apac,startup,starter,sales_outbound,165,12,9,8187.86,0.087,28,12.68,16
2025-02-01,apac,startup,growth,organic,279,19,12,36175.73,0.006,23,6.05,32
2025-02-01,apac,startup,growth,paid_search,331,21,14,42097.8,0.025,47,4.85,25
2025-02-01,apac,startup,growth,partner,344,23,16,43033.22,0.041,49,7.06,31
2025-02-01,apac,startup,growth,sales_outbound,403,29,19,47838.02,0.09,37,2.52,33
2025-02-01,apac,startup,enterprise,organic,714,40,33,212702.96,0.055,72,6.84,37
2025-02-01,apac,startup,enterprise,paid_search,766,56,31,234472.29,0.029,76,6.8,27
2025-02-01,apac,startup,enterprise,partner,836,49,44,253527.38,0.038,62,6.56,30
2025-02-01,apac,startup,enterprise,sales_outbound,935,56,50,268223.32,0.09,74,2.74,32
2025-02-01,apac,mid_market,starter,organic,84,5,3,7510.36,0.06,8,4.75,31
2025-02-01,apac,mid_market,starter,paid_search,89,4,3,7720.38,0.088,7,10.43,28
2025-02-01,apac,mid_market,starter,partner,100,6,3,8969.44,0.057,8,9.23,29
2025-02-01,apac,mid_market,starter,sales_outbound,106,5,4,9437.03,0.064,13,4.87,38
2025-02-01,apac,mid_market,growth,organic,198,11,6,42396.78,0.062,13,5.52,34
2025-02-01,apac,mid_market,growth,paid_search,232,12,8,50948.09,0.038,23,5.55,38
2025-02-01,apac,mid_market,growth,partner,248,11,6,53272.87,0.059,34,5.73,34
2025-02-01,apac,mid_market,growth,sales_outbound,282,17,11,60061.42,0.067,34,4.89,39
2025-02-01,apac,mid_market,enterprise,organic,488,31,15,258716.89,0.039,30,2.94,48
2025-02-01,apac,mid_market,enterprise,paid_search,543,24,15,277690.57,0.073,59,5.98,37
2025-02-01,apac,mid_market,enterprise,partner,580,26,15,306211.5,0.043,45,3.28,49
2025-02-01,apac,mid_market,enterprise,sales_outbound,637,36,19,322599.5,0.082,51,3.01,48
2025-02-01,apac,enterprise,starter,organic,35,2,1,7411.44,0.026,3,8.45,44
2025-02-01,apac,enterprise,starter,paid_search,46,2,1,9630.74,0.037,7,7.22,44
2025-02-01,apac,enterprise,starter,partner,50,2,1,10326.88,0.05,4,8.02,41
2025-02-01,apac,enterprise,starter,sales_outbound,52,2,1,10502.55,0.071,9,6.31,42
2025-02-01,apac,enterprise,growth,organic,86,4,2,43167.84,0.038,5,4.22,49
2025-02-01,apac,enterprise,growth,paid_search,102,5,3,50507.18,0.051,11,3.73,45
2025-02-01,apac,enterprise,growth,partner,106,5,2,55308.6,0.0,6,3.05,49
2025-02-01,apac,enterprise,growth,sales_outbound,120,5,3,60234.19,0.038,9,2.83,46
2025-02-01,apac,enterprise,enterprise,organic,222,9,4,261738.8,0.065,16,2.85,55
2025-02-01,apac,enterprise,enterprise,paid_search,234,11,5,280607.9,0.049,24,0.56,52
2025-02-01,apac,enterprise,enterprise,partner,261,14,5,314960.4,0.043,27,2.77,53
2025-02-01,apac,enterprise,enterprise,sales_outbound,307,15,5,366986.62,0.052,30,5.44,51
2025-02-01,latin_america,startup,starter,organic,98,8,5,4026.83,0.097,15,6.74,21
2025-02-01,latin_america,startup,starter,paid_search,111,8,6,4828.7,0.044,12,5.48,24
2025-02-01,latin_america,startup,starter,partner,129,8,7,5723.27,0.025,12,11.83,22
2025-02-01,latin_america,startup,starter,sales_outbound,146,10,7,5932.72,0.107,14,8.17,21
2025-02-01,latin_america,startup,growth,organic,234,13,12,24737.28,0.032,18,8.21,26
2025-02-01,latin_america,startup,growth,paid_search,281,16,12,28908.0,0.058,27,4.09,27
2025-02-01,latin_america,startup,growth,partner,332,19,16,35351.15,0.025,44,1.92,32
2025-02-01,latin_america,startup,growth,sales_outbound,326,20,13,33501.79,0.059,40,3.75,27
2025-02-01,latin_america,startup,enterprise,organic,580,32,31,153075.46,0.0,53,6.69,23
2025-02-01,latin_america,startup,enterprise,paid_search,725,53,30,181585.76,0.051,88,5.53,31
2025-02-01,latin_america,startup,enterprise,partner,748,52,40,188530.9,0.045,63,2.03,38
2025-02-01,latin_america,startup,enterprise,sales_outbound,721,42,34,176587.85,0.072,57,5.08,30
2025-02-01,latin_america,mid_market,starter,organic,67,4,2,5314.0,0.004,8,6.75,41
2025-02-01,latin_america,mid_market,starter,paid_search,80,5,2,5911.88,0.072,10,6.64,39
2025-02-01,latin_america,mid_market,starter,partner,92,5,3,6740.05,0.08,7,6.04,39
2025-02-01,latin_america,mid_market,starter,sales_outbound,91,5,3,6507.37,0.102,9,6.66,37
2025-02-01,latin_america,mid_market,growth,organic,158,7,5,29713.31,0.016,22,6.85,31
2025-02-01,latin_america,mid_market,growth,paid_search,184,12,5,34919.33,0.007,14,6.48,35
2025-02-01,latin_america,mid_market,growth,partner,178,9,6,31943.64,0.061,24,4.65,30
2025-02-01,latin_america,mid_market,growth,sales_outbound,225,13,7,41195.23,0.042,28,2.32,39
2025-02-01,latin_america,mid_market,enterprise,organic,369,17,13,156282.85,0.083,50,5.16,47
2025-02-01,latin_america,mid_market,enterprise,paid_search,471,25,16,199700.52,0.082,56,0.66,48
2025-02-01,latin_america,mid_market,enterprise,partner,480,22,15,212162.58,0.043,50,1.99,44
2025-02-01,latin_america,mid_market,enterprise,sales_outbound,526,26,13,222291.29,0.085,39,6.19,44
2025-02-01,latin_america,enterprise,starter,organic,31,1,1,5586.07,0.01,6,6.53,44
2025-02-01,latin_america,enterprise,starter,paid_search,37,2,1,6384.39,0.052,7,5.72,51
2025-02-01,latin_america,enterprise,starter,partner,36,1,0,6172.53,0.058,7,7.95,43
2025-02-01,latin_america,enterprise,starter,sales_outbound,43,2,1,7278.82,0.07,4,9.76,39
2025-02-01,latin_america,enterprise,growth,organic,76,3,2,33199.72,0.0,7,3.87,49
2025-02-01,latin_america,enterprise,growth,paid_search,86,3,2,35915.11,0.044,11,6.23,46
2025-02-01,latin_america,enterprise,growth,partner,88,5,1,38403.34,0.001,5,3.42,47
2025-02-01,latin_america,enterprise,growth,sales_outbound,98,4,1,41311.81,0.035,9,2.55,48
2025-02-01,latin_america,enterprise,enterprise,organic,184,10,3,189197.04,0.026,25,3.1,52
2025-02-01,latin_america,enterprise,enterprise,paid_search,214,8,5,225918.26,0.0,31,3.27,53
2025-02-01,latin_america,enterprise,enterprise,partner,226,10,5,221646.93,0.071,16,3.84,49
2025-02-01,latin_america,enterprise,enterprise,sales_outbound,255,12,5,245781.12,0.087,26,4.09,49
2025-03-01,north_america,startup,starter,organic,165,11,9,11455.99,0.069,18,6.64,18
2025-03-01,north_america,startup,starter,paid_search,209,16,10,15212.31,0.024,18,7.55,27
2025-03-01,north_america,startup,starter,partner,203,15,8,15138.93,0.0,32,8.02,28
2025-03-01,north_america,startup,starter,sales_outbound,227,17,9,16082.31,0.05,37,7.13,21
2025-03-01,north_america,startup,growth,organic,382,24,20,65157.83,0.047,21,8.75,19
2025-03-01,north_america,startup,growth,paid_search,537,35,23,85925.51,0.106,58,5.63,36
2025-03-01,north_america,startup,growth,partner,482,31,23,84026.51,0.026,42,4.34,33
2025-03-01,north_america,startup,growth,sales_outbound,549,43,25,90400.43,0.08,71,5.99,25
2025-03-01,north_america,startup,enterprise,organic,959,58,40,391162.65,0.057,74,6.67,30
2025-03-01,north_america,startup,enterprise,paid_search,1139,71,51,469508.76,0.047,147,1.88,37
2025-03-01,north_america,startup,enterprise,partner,1231,91,66,520743.65,0.022,138,3.41,35
